strategy,mean_J*,std_J*,min_J*,max_J*,mean_n_eval,mean_time
best1bin,0.701115,0.028625884667552202,0.668107,0.719134,180.0,16.152544339497883
rand1bin,0.6719736666666667,0.014352316200994603,0.660024,0.687893,180.0,16.3287140528361
best2bin,0.6629326666666667,0.08205266311542443,0.568215,0.712307,180.0,15.917532920837402
currenttobest1bin,0.679731,0.00332843401617036,0.677195,0.6835,180.0,15.87245512008667
