# x y T
0 0.13 0.796577
0 0.150037 0.796848
1 0.150037 0.797304
1 0.13 0.797035
0 0.169963 0.796848
0 0.19 0.796577
0.0203322 0.13 0.797129
0.0203383 0.15 0.797399
1 0.19 0.797031
1 0.169963 0.797301
0.979668 0.13 0.797587
0.979662 0.15 0.797857
0.0203445 0.17 0.797399
0.0203507 0.19 0.797129
0.0407779 0.13 0.797964
0.0407903 0.15 0.798235
0.979649 0.19 0.797584
0.979656 0.17 0.797851
0.95921 0.15 0.798701
0.959222 0.13 0.798425
0.0408151 0.19 0.797966
0.0408027 0.17 0.798236
0.0612243 0.13 0.799083
0.0612429 0.15 0.799355
0.959185 0.19 0.79843
0.952382 0.17 0.799028
0.942168 0.15 0.799613
0.938776 0.13 0.799541
0.0612801 0.19 0.799085
0.0612615 0.17 0.799355
0.0816955 0.15 0.800759
0.0816707 0.13 0.800485
0.93872 0.19 0.799544
0.931923 0.17 0.800248
0.925126 0.15 0.800721
0.918329 0.13 0.800944
0.0817451 0.19 0.800488
0.0817203 0.17 0.800757
0.0987372 0.15 0.802148
0.102117 0.13 0.802171
0.918255 0.19 0.800949
0.911464 0.17 0.801752
0.904674 0.15 0.802308
0.897883 0.13 0.802628
0.10221 0.19 0.802176
0.102179 0.17 0.80244
0.115779 0.15 0.803739
0.122563 0.13 0.804145
0.89779 0.19 0.802636
0.894413 0.17 0.80322
0.884221 0.15 0.804184
0.877437 0.13 0.804598
0.122675 0.19 0.804159
0.129453 0.17 0.805135
0.136232 0.15 0.80589
0.14301 0.13 0.806396
0.877362 0.17 0.804881
0.877325 0.19 0.80461
0.863768 0.15 0.806348
0.85699 0.13 0.806854
0.14314 0.19 0.806409
0.149912 0.17 0.807492
0.156684 0.15 0.808334
0.163456 0.13 0.808933
0.85686 0.19 0.806868
0.856903 0.17 0.807137
0.843316 0.15 0.808797
0.836544 0.13 0.809398
0 0.29 0.749937
0 0.32 0.750041
0.0122144 0.303573 0.750128
0 0.35 0.749913
0.163605 0.19 0.808953
0.170371 0.17 0.810134
0.183903 0.13 0.811766
0.177137 0.15 0.81106
1 0.35 0.749824
1 0.32 0.749953
1 0.29 0.749849
0.987786 0.303573 0.75004
0.836395 0.19 0.809414
0.836445 0.17 0.809676
0.822863 0.15 0.811538
0.816097 0.13 0.812227
0.022255 0.35 0.750162
0.0223067 0.29 0.750174
0.0290628 0.31 0.750384
0.0222722 0.33 0.750275
0.18407 0.19 0.81178
0.187437 0.175 0.812506
0.190805 0.16 0.813092
0.204349 0.13 0.814869
0.204411 0.15 0.81515
0.977745 0.35 0.750074
0.977728 0.33 0.750187
0.977693 0.29 0.750086
0.970937 0.31 0.750296
0.81593 0.19 0.812256
0.80917 0.17 0.813517
0.802411 0.15 0.814547
0.795651 0.13 0.815346
0.0425751 0.35 0.750515
0.0426785 0.29 0.750527
0.0460307 0.31 0.750704
0.0426096 0.33 0.750629
0.204535 0.19 0.814902
0.204473 0.17 0.815164
0.224795 0.13 0.818273
0.221453 0.15 0.817982
0.957425 0.35 0.750427
0.95739 0.33 0.750541
0.957321 0.29 0.750438
0.953969 0.31 0.750615
0.795465 0.19 0.815371
0.788712 0.17 0.816746
0.775136 0.15 0.819022
0.775205 0.13 0.818737
0.0628952 0.35 0.750984
0.0630503 0.29 0.750997
0.0629986 0.31 0.751104
0.0629469 0.33 0.751099
0.225 0.19 0.818316
0.231747 0.17 0.819765
0.245242 0.13 0.821966
0.238495 0.15 0.820995
0.937105 0.35 0.750896
0.937053 0.33 0.751011
0.93695 0.29 0.75091
0.937001 0.31 0.751014
0.775 0.19 0.818774
0.77166 0.17 0.819639
0.758095 0.15 0.822087
0.754758 0.13 0.822428
0.0834222 0.29 0.751585
0.0832153 0.35 0.751569
0.0833532 0.31 0.751689
0.0832843 0.33 0.751685
0.245465 0.19 0.822007
0.252206 0.17 0.823567
0.265688 0.13 0.825957
0.258947 0.15 0.824876
0.916785 0.35 0.751482
0.916716 0.33 0.751599
0.916578 0.29 0.751501
0.909873 0.31 0.751821
0.754535 0.19 0.822472
0.754609 0.17 0.822738
0.741053 0.15 0.825353
0.734312 0.13 0.826419
0.103794 0.29 0.752289
0.103708 0.31 0.75239
0.103535 0.35 0.752269
0.103622 0.33 0.752387
0.26593 0.19 0.825998
0.272665 0.17 0.827661
