popsize,mean_J*,std_J*,min_J*,max_J*,mean_n_eval,mean_time
2,0.671585,0.06275602932786614,0.601353,0.722158,72.0,6.743631045023601
4,0.6898920000000001,0.02376599930573089,0.663458,0.709493,144.0,13.290902614593506
6,0.7078843333333333,0.014915064543384723,0.698663,0.725092,216.0,19.252657890319824
10,0.7093286666666666,0.01693815947301633,0.690366,0.722959,360.0,31.789422671000164
15,0.717226,0.0022219885238227467,0.714715,0.718938,540.0,49.28101642926534
