mutation,mean_J*,std_J*,min_J*,max_J*,mean_n_eval,mean_time
0.3,0.7176143333333335,0.0067482786941066245,0.712983,0.725357,180.0,16.037991364796955
0.6,0.7040153333333333,0.02042675170782996,0.680476,0.71708,180.0,15.985631068547567
1.0,0.648015,0.026795495572950346,0.620204,0.673664,180.0,16.076767365137737
1.4,0.6487029999999999,0.016857776365820053,0.631643,0.665351,180.0,15.909701585769653
1.8,0.6107109999999999,0.05123265243963072,0.568215,0.667601,180.0,16.090102990468342
