# x y T
0 0.13 0.845681
0 0.150037 0.845793
1 0.150037 0.845682
1 0.13 0.84557
0 0.169963 0.845793
0 0.19 0.84568
0.0203322 0.13 0.845911
0.0203383 0.15 0.846024
1 0.19 0.845569
1 0.169963 0.845681
0.979668 0.13 0.845801
0.979662 0.15 0.845913
0.0203445 0.17 0.846024
0.0203507 0.19 0.845911
0.0407779 0.13 0.84626
0.0407903 0.15 0.846373
0.979649 0.19 0.845799
0.979656 0.17 0.845911
0.95921 0.15 0.846265
0.959222 0.13 0.846151
0.0408151 0.19 0.84626
0.0408027 0.17 0.846373
0.0612243 0.13 0.846727
0.0612429 0.15 0.84684
0.959185 0.19 0.846153
0.952382 0.17 0.846402
0.942168 0.15 0.846646
0.938776 0.13 0.846616
0.0612801 0.19 0.846728
0.0612615 0.17 0.84684
0.0816955 0.15 0.847426
0.0816707 0.13 0.847312
0.93872 0.19 0.846617
0.931923 0.17 0.846911
0.925126 0.15 0.847108
0.918329 0.13 0.847201
0.0817451 0.19 0.847314
0.0817203 0.17 0.847426
0.0987372 0.15 0.848006
0.102117 0.13 0.848016
0.918255 0.19 0.847203
0.911464 0.17 0.847538
0.904674 0.15 0.84777
0.897883 0.13 0.847903
0.10221 0.19 0.848018
0.102179 0.17 0.848128
0.115779 0.15 0.84867
0.122563 0.13 0.848839
0.89779 0.19 0.847907
0.894413 0.17 0.84815
0.884221 0.15 0.848552
0.877437 0.13 0.848725
0.122675 0.19 0.848845
0.129453 0.17 0.849251
0.136232 0.15 0.849566
0.14301 0.13 0.849778
0.877362 0.17 0.848842
0.877325 0.19 0.84873
0.863768 0.15 0.849453
0.85699 0.13 0.849665
0.14314 0.19 0.849783
0.149912 0.17 0.850234
0.156684 0.15 0.850584
0.163456 0.13 0.850835
0.85686 0.19 0.849671
0.856903 0.17 0.849782
0.843316 0.15 0.850473
0.836544 0.13 0.850724
0 0.29 0.75971
0 0.32 0.759815
0.0122144 0.303573 0.75989
0 0.35 0.759703
0.163605 0.19 0.850843
0.170371 0.17 0.851334
0.183903 0.13 0.852014
0.177137 0.15 0.851719
